pkImportStagingId	LocationNameCity	ItemAsListed
27685	Barrel Proof (Nashville)	Noah's Mill
27686	Barrel Proof (Nashville)	1/2 Jack Daniel's Tanyard Hill
27687	Barrel Proof (Nashville)	Pentagram - XL
27688	Barrel Proof (Nashville)	Wild Turkey Rare Breed Rye 2oz
27689	Barrel Proof (Nashville)	Manhattan $3
27690	Barrel Proof (Nashville)	Bernheim
27691	Barrel Proof (Nashville)	Plymouth 1oz
27692	Barrel Proof (Nashville)	Planteray Dark 1 oz
27693	Barrel Proof (Nashville)	Cocktail Prep $3 2oz
27694	Barrel Proof (Nashville)	$5 Advent Delta
27695	Barrel Proof (Nashville)	NightHawks 1 oz
27696	Barrel Proof (Nashville)	Fernet Vallet 1 oz
27697	Barrel Proof (Nashville)	Bardstown  - Origin B.I.B. 2 oz
27698	Barrel Proof (Nashville)	5 Cinco Sentidos - Arroqueno
27699	Barrel Proof (Nashville)	The Hampden Great House 2 oz
27700	Barrel Proof (Nashville)	G4 - Repo
27701	Barrel Proof (Nashville)	Navazos Palazzi - Gin
27702	Barrel Proof (Nashville)	Herbsaint 1oz
27703	Barrel Proof (Nashville)	Monster (16oz)
27704	Barrel Proof (Nashville)	Glendronach 12
27705	Barrel Proof (Nashville)	Old Fashioned $2 2oz
27706	Barrel Proof (Nashville)	Old Bardstown 2 oz
27707	Barrel Proof (Nashville)	Old Fashioned $2 2 oz
27708	Barrel Proof (Nashville)	Negroni $3 2oz
27709	Barrel Proof (Nashville)	Captain Morgan 2oz
27710	Barrel Proof (Nashville)	nelsons Bday Old Fashion
27711	Barrel Proof (Nashville)	Elijah Craig Barrel Proof 2oz
27712	Barrel Proof (Nashville)	Tierra de Enseuno 1 oz
27713	Barrel Proof (Nashville)	Sour $3 2 oz
27714	Barrel Proof (Nashville)	Shadow - Reposado 2 oz
27715	Barrel Proof (Nashville)	Jello Misguided
27716	Barrel Proof (Nashville)	W. L. Weller Antique 1oz
27717	Barrel Proof (Nashville)	Pinhook Bourbon Resolve 2oz
27718	Barrel Proof (Nashville)	Botanist 1oz
27719	Barrel Proof (Nashville)	Gunpowder
27720	Barrel Proof (Nashville)	Pedro Furtivo Repo 2oz
27721	Barrel Proof (Nashville)	Bardstown Cocktail
27722	Barrel Proof (Nashville)	Old Fashioned $2 2 oz
27723	Barrel Proof (Nashville)	Siren's Song
27724	Barrel Proof (Nashville)	Super Bowl fried platter
27725	Barrel Proof (Nashville)	Ltd. Edt. Mermaid Mug
27726	Barrel Proof (Nashville)	Plain Dog
27727	Barrel Proof (Nashville)	Woodford Master Collection - Madeira 1 oz
27728	Barrel Proof (Nashville)	Cascahuin Blanco 2 oz
27729	Barrel Proof (Nashville)	N/A Witching Hour
27730	Barrel Proof (Nashville)	Pappy Van Winkle 15 Yr
27731	Barrel Proof (Nashville)	Fries 2oz
27732	Barrel Proof (Nashville)	Rebel Yell
27733	Barrel Proof (Nashville)	Old Fashioned $2 2oz
27734	Barrel Proof (Nashville)	Sour $3 2oz
27735	Barrel Proof (Nashville)	Old Fashioned $3 2oz
27736	Barrel Proof (Nashville)	Celery Salad
27737	Barrel Proof (Nashville)	Fortaleza - Cask Strength Single Barrel 1 oz
27738	Barrel Proof (Nashville)	Old Forester Rye 100 1 oz
27739	Barrel Proof (Nashville)	over hard
27740	Barrel Proof (Nashville)	Nikka - Yoichi 10
27741	Barrel Proof (Nashville)	1792 Sweet Wheat 2 oz
27742	Barrel Proof (Nashville)	No Mustard
27743	Barrel Proof (Nashville)	Elmer T. Lee 1 oz
